insert into item (itemID, itemCode, itemCost, itemRebate, itemSupportCategory, surgeonTypeCode) values ('XQ-2V5', '0153', 19000, 'True', 'SpC', 't-OTS');
insert into item (itemID, itemCode, itemCost, itemRebate, itemSupportCategory, surgeonTypeCode) values ('XR-0H3', '8493', 27000, 'True', '1', 't-PLS');
insert into item (itemID, itemCode, itemCost, itemRebate, itemSupportCategory, surgeonTypeCode) values ('XZ-2Q7', '5793', 19000, 'False', '2', 't-ORS');
insert into item (itemID, itemCode, itemCost, itemRebate, itemSupportCategory, surgeonTypeCode) values ('XZ-4L9', '8804', 81000, 'True', '1', 't-OTS');
insert into item (itemID, itemCode, itemCost, itemRebate, itemSupportCategory, surgeonTypeCode) values ('XK-8M5', '6491', 81000, 'True', '1', 't-ORS');
insert into item (itemID, itemCode, itemCost, itemRebate, itemSupportCategory, surgeonTypeCode) values ('XK-9W6', '8363', 19000, 'False', 'SpC', 't-GSU');
insert into item (itemID, itemCode, itemCost, itemRebate, itemSupportCategory, surgeonTypeCode) values ('XZ-4P9', '8862', 14000, 'True', '4', 't-CCS');
insert into item (itemID, itemCode, itemCost, itemRebate, itemSupportCategory, surgeonTypeCode) values ('XM-3K4', '8027', 21000, 'True', '3', 't-OTS');
insert into item (itemID, itemCode, itemCost, itemRebate, itemSupportCategory, surgeonTypeCode) values ('XC-6D1', '8132', 64000, 'False', '2', 't-CRS');
insert into item (itemID, itemCode, itemCost, itemRebate, itemSupportCategory, surgeonTypeCode) values ('XE-6Z0', '6096', 14000, 'False', '2', 't-PLS');
insert into item (itemID, itemCode, itemCost, itemRebate, itemSupportCategory, surgeonTypeCode) values ('XF-7W9', '4863', 21000, 'False', '2', 't-NEU');
insert into item (itemID, itemCode, itemCost, itemRebate, itemSupportCategory, surgeonTypeCode) values ('XK-2J2', '6673', 21000, 'False', '2', 't-GSU');
insert into item (itemID, itemCode, itemCost, itemRebate, itemSupportCategory, surgeonTypeCode) values ('XX-5F2', '9013', 14000, 'False', 'SpC', 't-NEU');
insert into item (itemID, itemCode, itemCost, itemRebate, itemSupportCategory, surgeonTypeCode) values ('XU-7U8', '7122', 19000, 'False', '2', 't-PLS');
insert into item (itemID, itemCode, itemCost, itemRebate, itemSupportCategory, surgeonTypeCode) values ('XG-1I8', '3393', 21000, 'True', '2', 't-NEU');
insert into item (itemID, itemCode, itemCost, itemRebate, itemSupportCategory, surgeonTypeCode) values ('XV-2Q2', '3398', 19000, 'True', '1', 't-GSU');
insert into item (itemID, itemCode, itemCost, itemRebate, itemSupportCategory, surgeonTypeCode) values ('XA-6R9', '8296', 19000, 'True', '1', 't-OTS');
insert into item (itemID, itemCode, itemCost, itemRebate, itemSupportCategory, surgeonTypeCode) values ('XG-9R5', '6601', 14000, 'True', '4', 't-CRS');
insert into item (itemID, itemCode, itemCost, itemRebate, itemSupportCategory, surgeonTypeCode) values ('XI-8Y1', '3425', 21000, 'False', '2', 't-PLS');
insert into item (itemID, itemCode, itemCost, itemRebate, itemSupportCategory, surgeonTypeCode) values ('XF-1K2', '9303', 81000, 'True', '1', 't-NEU');
insert into item (itemID, itemCode, itemCost, itemRebate, itemSupportCategory, surgeonTypeCode) values ('XM-6L7', '7997', 19000, 'False', '1', 't-CCS');
insert into item (itemID, itemCode, itemCost, itemRebate, itemSupportCategory, surgeonTypeCode) values ('XV-0A5', '7970', 19000, 'True', '1', 't-PLS');
insert into item (itemID, itemCode, itemCost, itemRebate, itemSupportCategory, surgeonTypeCode) values ('XN-2D3', '3322', 14000, 'True', '1', 't-OTS');
insert into item (itemID, itemCode, itemCost, itemRebate, itemSupportCategory, surgeonTypeCode) values ('XZ-2H5', '7095', 81000, 'True', '2', 't-CRS');
